"id","value","length","source"
"1437","rsbi","4","edukasi-002"
"1438","sekolah","7","edukasi-002"
"1439","tempat","6","edukasi-002"
"1440","anak","4","edukasi-002"
"1441","saya","4","edukasi-002"
"1442","tidak","5","edukasi-002"
"1443","masalah","7","edukasi-002"
"1444","tapi","4","edukasi-002"
"1445","sekolah","7","edukasi-002"
"1446","lain","4","edukasi-002"
"1447","bisa","4","edukasi-002"
"1448","jadi","4","edukasi-002"
"1449","yang","4","edukasi-002"
"1450","tetap","5","edukasi-002"
"1451","menarik","7","edukasi-002"
"1452","pungutan","8","edukasi-002"
"1453","padahal","7","edukasi-002"
"1454","dengan","6","edukasi-002"
"1455","adanya","6","edukasi-002"
"1456","putusan","7","edukasi-002"
"1457","harusnya","8","edukasi-002"
"1458","aturannya","9","edukasi-002"
"1459","termasuk","8","edukasi-002"
"1460","pungutan","8","edukasi-002"
"1461","sudah","5","edukasi-002"
"1462","tidak","5","edukasi-002"
"1463","berlaku","7","edukasi-002"
"1464","jelas","5","edukasi-002"
"1465","mila","4","edukasi-002"
"1466","kami","4","edukasi-002"
"1467","hanya","5","edukasi-002"
"1468","minta","5","edukasi-002"
"1469","agar","4","edukasi-002"
"1470","kemdikbud","9","edukasi-002"
"1471","tegas","5","edukasi-002"
"1472","dengan","6","edukasi-002"
"1473","pungutan","8","edukasi-002"
"1474","agar","4","edukasi-002"
"1475","orangtua","8","edukasi-002"
"1476","juga","4","edukasi-002"
"1477","tidak","5","edukasi-002"
"1478","bingung","7","edukasi-002"
"1479","sekolah","7","edukasi-002"
"1480","tidak","5","edukasi-002"
"1481","memanfaatkan","12","edukasi-002"
"1482","kondisi","7","edukasi-002"
"1483","tandasnya","9","edukasi-002"
"1484","masa","4","edukasi-003"
"1485","transisi","8","edukasi-003"
"1486","rsbi","4","edukasi-003"
"1487","punya","5","edukasi-003"
"1488","dasar","5","edukasi-003"
"1489","hukumindonesia","14","edukasi-003"
"1490","corruption","10","edukasi-003"
"1491","watch","5","edukasi-003"
"1492","menyatakan","10","edukasi-003"
"1493","bahwa","5","edukasi-003"
"1494","tidak","5","edukasi-003"
"1495","dasar","5","edukasi-003"
"1496","hukum","5","edukasi-003"
"1497","terhadap","8","edukasi-003"
"1498","transisi","8","edukasi-003"
"1499","pelaksanaan","11","edukasi-003"
"1500","putusan","7","edukasi-003"
"1501","terkait","7","edukasi-003"
"1502","rintisan","8","edukasi-003"
"1503","sekolah","7","edukasi-003"
"1504","bertaraf","8","edukasi-003"
"1505","internasional","13","edukasi-003"
"1506","rsbi","4","edukasi-003"
"1507","sbi","3","edukasi-003"
"1508","sampai","6","edukasi-003"
"1509","akhir","5","edukasi-003"
"1510","masa","4","edukasi-003"
"1511","tahun","5","edukasi-003"
"1512","ajaran","6","edukasi-003"
"1513","bahkan","6","edukasi-003"
"1514","mahkamah","8","edukasi-003"
"1515","konstitusi","10","edukasi-003"
"1516","dinilai","7","edukasi-003"
"1517","hanya","5","edukasi-003"
"1518","memiliki","8","edukasi-003"
"1519","kewenangan","10","edukasi-003"
"1520","menetapkan","10","edukasi-003"
"1521","putusan","7","edukasi-003"
"1522","sebagaimana","11","edukasi-003"
"1523","diatur","6","edukasi-003"
"1524","dalam","5","edukasi-003"
"1525","pasal","5","edukasi-003"
"1526","no","2","edukasi-003"
"1527","tahun","5","edukasi-003"
"1528","tentang","7","edukasi-003"
"1529","mahkamah","8","edukasi-003"
"1530","konstitusi","10","edukasi-003"
"1531","peneliti","8","edukasi-003"
"1532","febri","5","edukasi-003"
"1533","hendri","6","edukasi-003"
"1534","mempertanyakan","14","edukasi-003"
"1535","kesepakatan","11","edukasi-003"
"1536","yang","4","edukasi-003"
"1537","dilakukan","9","edukasi-003"
"1538","menteri","7","edukasi-003"
"1539","pendidikan","10","edukasi-003"
"1540","kebudayaan","10","edukasi-003"
"1541","mohammad","8","edukasi-003"
"1542","dengan","6","edukasi-003"
"1543","ketua","5","edukasi-003"
"1544","mahfud","6","edukasi-003"
"1545","pada","4","edukasi-003"
"1546","minggu","6","edukasi-003"
"1547","kemarin","7","edukasi-003"
"1548","menurutnya","10","edukasi-003"
"1549","tidak","5","edukasi-003"
"1550","berwenang","9","edukasi-003"
"1551","untuk","5","edukasi-003"
"1552","ikut","4","edukasi-003"
"1553","campur","6","edukasi-003"
"1554","tangan","6","edukasi-003"
"1555","terkait","7","edukasi-003"
"1556","implementasi","12","edukasi-003"
"1557","putusan","7","edukasi-003"
"1558","tidak","5","edukasi-003"
"1559","kewenangan","10","edukasi-003"
"1560","untuk","5","edukasi-003"
"1561","mengurusi","9","edukasi-003"
"1562","implementasi","12","edukasi-003"
"1563","putusan","7","edukasi-003"
"1564","yang","4","edukasi-003"
"1565","telah","5","edukasi-003"
"1566","ditetapkan","10","edukasi-003"
"1567","kewenangan","10","edukasi-003"
"1568","hanya","5","edukasi-003"
"1569","memutuskan","10","edukasi-003"
"1570","perkara","7","edukasi-003"
"1571","sesuai","6","edukasi-003"
"1572","undang-undang","13","edukasi-003"
"1573","kata","4","edukasi-003"
"1574","febri","5","edukasi-003"
"1575","gedung","6","edukasi-003"
"1576","kemdikbud","9","edukasi-003"
"1577","jakarta","7","edukasi-003"
"1578","senin","5","edukasi-003"
"1579","dengan","6","edukasi-003"
"1580","demikian","8","edukasi-003"
"1581","meminta","7","edukasi-003"
"1582","agar","4","edukasi-003"
"1583","pemerintah","10","edukasi-003"
"1584","segera","6","edukasi-003"
"1585","mengeksekusi","12","edukasi-003"
"1586","putusan","7","edukasi-003"
"1587","tersebut","8","edukasi-003"
"1588","tidak","5","edukasi-003"
"1589","menunda","7","edukasi-003"
"1590","pemberhentian","13","edukasi-003"
"1591","program","7","edukasi-003"
"1592","rsbi-sbi","8","edukasi-003"
"1593","seluruh","7","edukasi-003"
"1594","indonesia","9","edukasi-003"
"1595","menurutnya","10","edukasi-003"
"1596","semua","5","edukasi-003"
"1597","program","7","edukasi-003"
"1598","terkait","7","edukasi-003"
"1599","rsbi-sbi","8","edukasi-003"
"1600","harus","5","edukasi-003"
"1601","dihentikan","10","edukasi-003"
"1602","termasuk","8","edukasi-003"
"1603","aliran","6","edukasi-003"
"1604","anggaran","8","edukasi-003"
"1605","dari","4","edukasi-003"
"1606","pemerintah","10","edukasi-003"
"1607","untuk","5","edukasi-003"
"1608","program","7","edukasi-003"
"1609","rsbi-sbi","8","edukasi-003"
"1610","masalah","7","edukasi-003"
"1611","anggaran","8","edukasi-003"
"1612","juga","4","edukasi-003"
"1613","harus","5","edukasi-003"
"1614","dihentikan","10","edukasi-003"
"1615","yang","4","edukasi-003"
"1616","sudah","5","edukasi-003"
"1617","turun","5","edukasi-003"
"1618","harus","5","edukasi-003"
"1619","ditarik","7","edukasi-003"
"1620","dikembalikan","12","edukasi-003"
"1621","pada","4","edukasi-003"
"1622","negara","6","edukasi-003"
"1623","programnya","10","edukasi-003"
"1624","juga","4","edukasi-003"
"1625","sudah","5","edukasi-003"
"1626","tidak","5","edukasi-003"
"1627","boleh","5","edukasi-003"
"1628","jalan","5","edukasi-003"
"1629","ujar","4","edukasi-003"
"1630","febri","5","edukasi-003"
"1631","menegaskan","10","edukasi-003"
"1632","bahwa","5","edukasi-003"
"1633","jika","4","edukasi-003"
"1634","anggaran","8","edukasi-003"
"1635","rsbi-sbi","8","edukasi-003"
"1636","tidak","5","edukasi-003"
"1637","dikembalikan","12","edukasi-003"
"1638","terus","5","edukasi-003"
"1639","digunakan","9","edukasi-003"
"1640","maka","4","edukasi-003"
"1641","melanggar","9","edukasi-003"
"1642","hukum","5","edukasi-003"
"1643","karena","6","edukasi-003"
"1644","dalam","5","edukasi-003"
"1645","putusan","7","edukasi-003"
"1646","terkait","7","edukasi-003"
"1647","pasal","5","edukasi-003"
"1648","ayat","4","edukasi-003"
"1649","no","2","edukasi-003"
"1650","tahun","5","edukasi-003"
"1651","tentang","7","edukasi-003"
"1652","sistem","6","edukasi-003"
"1653","pendidikan","10","edukasi-003"
"1654","nasional","8","edukasi-003"
"1655","jelas","5","edukasi-003"
"1656","menggugurkan","12","edukasi-003"
"1657","semua","5","edukasi-003"
"1658","aturan","6","edukasi-003"
"1659","perundang-undangan","18","edukasi-003"
"1660","lain","4","edukasi-003"
"1661","yang","4","edukasi-003"
"1662","dijadikan","9","edukasi-003"
"1663","dasar","5","edukasi-003"
"1664","berjalannya","11","edukasi-003"
"1665","rsbi-sbi","8","edukasi-003"
"1666","kalau","5","edukasi-003"
"1667","tetap","5","edukasi-003"
"1668","dibiarkan","9","edukasi-003"
"1669","maka","4","edukasi-003"
"1670","sama","4","edukasi-003"
"1671","saja","4","edukasi-003"
"1672","melanggar","9","edukasi-003"
"1673","hukum","5","edukasi-003"
"1674","bisa","4","edukasi-003"
"1675","dilaporkan","10","edukasi-003"
"1676","polisi","6","edukasi-003"
"1677","atau","4","edukasi-003"
"1678","nanti","5","edukasi-003"
"1679","bisa","4","edukasi-003"
"1680","kena","4","edukasi-003"
"1681","saat","4","edukasi-003"
"1682","diaudit","7","edukasi-003"
"1683","tandasnya","9","edukasi-003"
"1684","berharap","8","edukasi-004"
"1685","kemdikbud","9","edukasi-004"
"1686","terbuka","7","edukasi-004"
"1687","pascaputusanterkait","19","edukasi-004"
"1688","dengan","6","edukasi-004"
"1689","pemantauan","10","edukasi-004"
"1690","implementasi","12","edukasi-004"
"1691","putusan","7","edukasi-004"
"1692","mahkamah","8","edukasi-004"
"1693","konstitusi","10","edukasi-004"
"1694","terhadap","8","edukasi-004"
"1695","rintisan","8","edukasi-004"
"1696","sekolah","7","edukasi-004"
"1697","bertaraf","8","edukasi-004"
"1698","internasional","13","edukasi-004"
"1699","rsbi","4","edukasi-004"
"1700","indonesia","9","edukasi-004"
"1701","corruption","10","edukasi-004"
"1702","watch","5","edukasi-004"
"1703","bersama","7","edukasi-004"
"1704","dengan","6","edukasi-004"
"1705","orangtua","8","edukasi-004"
"1706","murid","5","edukasi-004"
"1707","pemohon","7","edukasi-004"
"1708","judicial","8","edukasi-004"
"1709","review","6","edukasi-004"
"1710","terhadap","8","edukasi-004"
"1711","pasal","5","edukasi-004"
"1712","yang","4","edukasi-004"
"1713","mendasari","9","edukasi-004"
"1714","rsbi","4","edukasi-004"
"1715","mendatangi","10","edukasi-004"
"1716","kementerian","11","edukasi-004"
"1717","pendidikan","10","edukasi-004"
"1718","kebudayaan","10","edukasi-004"
"1719","kemdikbud","9","edukasi-004"
"1720","senin","5","edukasi-004"
"1721","mereka","6","edukasi-004"
"1722","datang","6","edukasi-004"
"1723","untuk","5","edukasi-004"
"1724","mengajukan","10","edukasi-004"
"1725","permintaan","10","edukasi-004"
"1726","informasi","9","edukasi-004"
"1727","publik","6","edukasi-004"
"1728","kepada","6","edukasi-004"
"1729","pemerintah","10","edukasi-004"
"1730","pascaputusan","12","edukasi-004"
"1731","dikeluarkan","11","edukasi-004"
"1732","peneliti","8","edukasi-004"
"1733","febri","5","edukasi-004"
"1734","hendri","6","edukasi-004"
"1735","mengatakan","10","edukasi-004"
"1736","bahwa","5","edukasi-004"
"1737","informasi","9","edukasi-004"
"1738","penting","7","edukasi-004"
"1739","agar","4","edukasi-004"
"1740","dapat","5","edukasi-004"
"1741","dipantau","8","edukasi-004"
"1742","kinerja","7","edukasi-004"
"1743","pemerintah","10","edukasi-004"
"1744","pusat","5","edukasi-004"
"1745","pemerintah","10","edukasi-004"
"1746","daerah","6","edukasi-004"
"1747","terutama","8","edukasi-004"
"1748","masalah","7","edukasi-004"
"1749","anggaran","8","edukasi-004"
"1750","dalam","5","edukasi-004"
"1751","menyikapi","9","edukasi-004"
"1752","putusan","7","edukasi-004"
"1753","tentang","7","edukasi-004"
"1754","pencabutan","10","edukasi-004"
"1755","status","6","edukasi-004"
"1756","rsbi","4","edukasi-004"
"1757","pada","4","edukasi-004"
"1758","sejumlah","8","edukasi-004"
"1759","sekolah","7","edukasi-004"
"1760","kami","4","edukasi-004"
"1761","meminta","7","edukasi-004"
"1762","informasi","9","edukasi-004"
"1763","agar","4","edukasi-004"
"1764","dapat","5","edukasi-004"
"1765","dipantau","8","edukasi-004"
"1766","yang","4","edukasi-004"
"1767","dilakukan","9","edukasi-004"
"1768","oleh","4","edukasi-004"
"1769","pemerintah","10","edukasi-004"
"1770","setelah","7","edukasi-004"
"1771","putusan","7","edukasi-004"
"1772","kata","4","edukasi-004"
"1773","febri","5","edukasi-004"
"1774","gedung","6","edukasi-004"
"1775","kemdikbud","9","edukasi-004"
"1776","jakarta","7","edukasi-004"
"1777","senin","5","edukasi-004"
"1778","informasi","9","edukasi-004"
"1779","yang","4","edukasi-004"
"1780","diminta","7","edukasi-004"
"1781","oleh","4","edukasi-004"
"1782","dan","3","edukasi-004"
"1783","para","4","edukasi-004"
"1784","orang","5","edukasi-004"
"1785","siswa","5","edukasi-004"
"1786","adalah","6","edukasi-004"
"1787","nama","4","edukasi-004"
"1788","alamat","6","edukasi-004"
"1789","satuan","6","edukasi-004"
"1790","pendidikan","10","edukasi-004"
"1791","semua","5","edukasi-004"
"1792","jenjang","7","edukasi-004"
"1793","pendidikan","10","edukasi-004"
"1794","baik","4","edukasi-004"
"1795","negeri","6","edukasi-004"
"1796","atau","4","edukasi-004"
"1797","swasta","6","edukasi-004"
"1798","yang","4","edukasi-004"
"1799","didorong","8","edukasi-004"
"1800","menjadi","7","edukasi-004"
"1801","rsbi","4","edukasi-004"
"1802","atau","4","edukasi-004"
"1803","kemudian","8","edukasi-004"
"1804","juga","4","edukasi-004"
"1805","mengajukan","10","edukasi-004"
"1806","permintaan","10","edukasi-004"
"1807","salinan","7","edukasi-004"
"1808","dokumen","7","edukasi-004"
"1809","rincian","7","edukasi-004"
"1810","program","7","edukasi-004"
"1811","anggaran","8","edukasi-004"
"1812","apbn","4","edukasi-004"
"1813","yang","4","edukasi-004"
"1814","dialokasikan","12","edukasi-004"
"1815","untuk","5","edukasi-004"
"1816","program","7","edukasi-004"
"1817","rsbi-sbi","8","edukasi-004"
"1818","untuk","5","edukasi-004"
"1819","anggaran","8","edukasi-004"
"1820","kami","4","edukasi-004"
"1821","meminta","7","edukasi-004"
"1822","dari","4","edukasi-004"
"1823","semua","5","edukasi-004"
"1824","tingkatan","9","edukasi-004"
"1825","baik","4","edukasi-004"
"1826","yang","4","edukasi-004"
"1827","dikelola","8","edukasi-004"
"1828","kemdikbud","9","edukasi-004"
"1829","dinas","5","edukasi-004"
"1830","pendidikan","10","edukasi-004"
"1831","provinsi","8","edukasi-004"
"1832","dinas","5","edukasi-004"
"1833","pendidikan","10","edukasi-004"
"1834","kabupaten","9","edukasi-004"
"1835","kota","4","edukasi-004"
"1836","satuan","6","edukasi-004"
"1837","pendidikan","10","edukasi-004"
"1838","tandasnya","9","edukasi-004"
"1839","seperti","7","edukasi-004"
"1840","diketahui","9","edukasi-004"
"1841","pasca","5","edukasi-004"
"1842","putusan","7","edukasi-004"
"1843","terkait","7","edukasi-004"
"1844","rsbi","4","edukasi-004"
"1845","pada","4","edukasi-004"
"1846","selasa","6","edukasi-004"
"1847","lalu","4","edukasi-004"
"1848","membuat","7","edukasi-004"
"1849","kemdikbud","9","edukasi-004"
"1850","mengambil","9","edukasi-004"
"1851","langkah","7","edukasi-004"
"1852","adanya","6","edukasi-004"
"1853","masa","4","edukasi-004"
"1854","transisi","8","edukasi-004"
"1855","pada","4","edukasi-004"
"1856","sekolah","7","edukasi-004"
"1857","bekas","5","edukasi-004"
"1858","rsbi","4","edukasi-004"
"1859","dengan","6","edukasi-004"
"1860","adanya","6","edukasi-004"
"1861","masa","4","edukasi-004"
"1862","transisi","8","edukasi-004"
"1863","maka","4","edukasi-004"
"1864","program","7","edukasi-004"
"1865","pembelajaran","12","edukasi-004"
"1866","tetap","5","edukasi-004"
"1867","berjalan","8","edukasi-004"
"1868","seperti","7","edukasi-004"
"1869","biasa","5","edukasi-004"
"1870","anggaran","8","edukasi-004"
"1871","yang","4","edukasi-004"
"1872","sudah","5","edukasi-004"
"1873","turun","5","edukasi-004"
"1874","maka","4","edukasi-004"
"1875","tidak","5","edukasi-004"
"1876","akan","4","edukasi-004"
"1877","ditarik","7","edukasi-004"
"1878","rsbi","4","edukasi-005"
"1879","rusak","5","edukasi-005"
"1880","sudah","5","edukasi-005"
"1881","bangsa","6","edukasi-005"
"1882","belum","5","edukasi-005"
"1883","lagi","4","edukasi-005"
"1884","reda","4","edukasi-005"
"1885","debat","5","edukasi-005"
"1886","tentang","7","edukasi-005"
"1887","kurikulum","9","edukasi-005"
"1888","kini","4","edukasi-005"
"1889","dunia","5","edukasi-005"
"1890","pendidikan","10","edukasi-005"
"1891","dihebohkan","10","edukasi-005"
"1892","oleh","4","edukasi-005"
"1893","keputusan","9","edukasi-005"
"1894","mahkamah","8","edukasi-005"
"1895","konstitusi","10","edukasi-005"
"1896","yang","4","edukasi-005"
"1897","memvonis","8","edukasi-005"
"1898","bahwa","5","edukasi-005"
"1899","proyek","6","edukasi-005"
"1900","rintisan","8","edukasi-005"
"1901","sekolah","7","edukasi-005"
"1902","bertaraf","8","edukasi-005"
"1903","internasional","13","edukasi-005"
"1904","sekolah","7","edukasi-005"
"1905","bertaraf","8","edukasi-005"
"1906","internasional","13","edukasi-005"
"1907","bertentangan","12","edukasi-005"
"1908","dengan","6","edukasi-005"
"1909","kedua","5","edukasi-005"
"1910","perkara","7","edukasi-005"
"1911","menarik","7","edukasi-005"
"1912","perhatian","9","edukasi-005"
"1913","masyarakat","10","edukasi-005"
"1914","luas","4","edukasi-005"
"1915","terutama","8","edukasi-005"
"1916","karena","6","edukasi-005"
"1917","nalarnya","8","edukasi-005"
"1918","dinilai","7","edukasi-005"
"1919","tidak","5","edukasi-005"
"1920","nyambung","8","edukasi-005"
"1921","bertentangan","12","edukasi-005"
"1922","dengan","6","edukasi-005"
"1923","pemahaman","9","edukasi-005"
"1924","umum","4","edukasi-005"
"1925","tentang","7","edukasi-005"
"1926","tujuan","6","edukasi-005"
"1927","pendidikan","10","edukasi-005"
"1928","peningkatan","11","edukasi-005"
"1929","kualitas","8","edukasi-005"
"1930","sumber","6","edukasi-005"
"1931","daya","4","edukasi-005"
"1932","manusia","7","edukasi-005"
"1933","indonesia","9","edukasi-005"
"1934","salah","5","edukasi-005"
"1935","satu","4","edukasi-005"
"1936","antara","6","edukasi-005"
"1937","banyak","6","edukasi-005"
"1938","pokok","5","edukasi-005"
"1939","keberatan","9","edukasi-005"
"1940","baik","4","edukasi-005"
"1941","terhadap","8","edukasi-005"
"1942","kurikulum","9","edukasi-005"
"1943","maupun","6","edukasi-005"
"1944","proyek","6","edukasi-005"
"1945","rsbi","4","edukasi-005"
"1946","meskipun","8","edukasi-005"
"1947","dimaksudkan","11","edukasi-005"
"1948","untuk","5","edukasi-005"
"1949","peningkatan","11","edukasi-005"
"1950","kualitas","8","edukasi-005"
"1951","pada","4","edukasi-005"
"1952","praktiknya","10","edukasi-005"
"1953","penghapusan","11","edukasi-005"
"1954","bahasa","6","edukasi-005"
"1955","daerah","6","edukasi-005"
"1956","penggunaan","10","edukasi-005"
"1957","bahasa","6","edukasi-005"
"1958","inggris","7","edukasi-005"
"1959","justru","6","edukasi-005"
"1960","dinilai","7","edukasi-005"
"1961","melemahkan","10","edukasi-005"
"1962","jati","4","edukasi-005"
"1963","diri","4","edukasi-005"
"1964","bangsa","6","edukasi-005"
"1965","proyek","6","edukasi-005"
"1966","pembuangan","10","edukasi-005"
"1967","kritik","6","edukasi-005"
"1968","lain","4","edukasi-005"
"1969","terhadap","8","edukasi-005"
"1970","proyek","6","edukasi-005"
"1971","rsbi","4","edukasi-005"
"1972","yang","4","edukasi-005"
"1973","lantas","6","edukasi-005"
"1974","menjadikan","10","edukasi-005"
"1975","sekolah","7","edukasi-005"
"1976","eksklusif","9","edukasi-005"
"1977","mahal","5","edukasi-005"
"1978","adalah","6","edukasi-005"
"1979","melahirkan","10","edukasi-005"
"1980","diskriminasi","12","edukasi-005"
"1981","kaya-miskin","11","edukasi-005"
"1982","meniadakan","10","edukasi-005"
"1983","kewajiban","9","edukasi-005"
"1984","negara","6","edukasi-005"
"1985","menyelenggarakan","16","edukasi-005"
"1986","pendidikan","10","edukasi-005"
"1987","bermutu","7","edukasi-005"
"1988","bagi","4","edukasi-005"
"1989","seluruh","7","edukasi-005"
"1990","warga","5","edukasi-005"
"1991","negara","6","edukasi-005"
"1992","kehebohan","9","edukasi-005"
"1993","untuk","5","edukasi-005"
"1994","kesekian","8","edukasi-005"
"1995","kali","4","edukasi-005"
"1996","membuktikan","11","edukasi-005"
"1997","bahwa","5","edukasi-005"
"1998","pemerintah","10","edukasi-005"
"1999","dalam","5","edukasi-005"
"2000","ini","3","edukasi-005"
"2001","kementerian","11","edukasi-005"
"2002","pendidikan","10","edukasi-005"
"2003","kebudayaan","10","edukasi-005"
"2004","tampaknya","9","edukasi-005"
"2005","paham","5","edukasi-005"
"2006","tentang","7","edukasi-005"
"2007","arti","4","edukasi-005"
"2008","tujuan","6","edukasi-005"
"2009","pendidikan","10","edukasi-005"
"2010","apalagi","7","edukasi-005"
"2011","dalam","5","edukasi-005"
"2012","hubungannya","11","edukasi-005"
"2013","dengan","6","edukasi-005"
"2014","kebudayaan","10","edukasi-005"
"2015","lahirnya","8","edukasi-005"
"2016","berbagai","8","edukasi-005"
"2017","keputusan","9","edukasi-005"
"2018","yang","4","edukasi-005"
"2019","aneh","4","edukasi-005"
"2020","juga","4","edukasi-005"
"2021","menunjukkan","11","edukasi-005"
"2022","bahwa","5","edukasi-005"
"2023","mereka","6","edukasi-005"
"2024","paham","5","edukasi-005"
"2025","fungsi","6","edukasi-005"
"2026","kemdikbud","9","edukasi-005"
"2027","satu-satunya","12","edukasi-005"
"2028","yang","4","edukasi-005"
"2029","mereka","6","edukasi-005"
"2030","pahami","6","edukasi-005"
"2031","tampaknya","9","edukasi-005"
"2032","adalah","6","edukasi-005"
"2033","bahwa","5","edukasi-005"
"2034","dana","4","edukasi-005"
"2035","triliunan","9","edukasi-005"
"2036","rupiah","6","edukasi-005"
"2037","yang","4","edukasi-005"
"2038","harus","5","edukasi-005"
"2039","segera","6","edukasi-005"
"2040","digelontorkan","13","edukasi-005"
"2041","untuk","5","edukasi-005"
"2042","dibuatlah","9","edukasi-005"
"2043","berbagai","8","edukasi-005"
"2044","program","7","edukasi-005"
"2045","sebagai","7","edukasi-005"
"2046","proyek","6","edukasi-005"
"2047","pembuangan","10","edukasi-005"
"2048","uang","4","edukasi-005"
"2049","diberitakan","11","edukasi-005"
"2050","dalam","5","edukasi-005"
"2051","kurun","5","edukasi-005"
"2052","kemdikbud","9","edukasi-005"
"2053","telah","5","edukasi-005"
"2054","menyubsidi","10","edukasi-005"
"2055","rsbi","4","edukasi-005"
"2056","dengan","6","edukasi-005"
"2057","dana","4","edukasi-005"
"2058","triliun","7","edukasi-005"
"2059","proyek","6","edukasi-005"
"2060","juga","4","edukasi-005"
"2061","menyedot","8","edukasi-005"
"2062","dana","4","edukasi-005"
"2063","yang","4","edukasi-005"
"2064","sedikit","7","edukasi-005"
"2065","dari","4","edukasi-005"
"2066","pemerintah","10","edukasi-005"
"2067","daerah","6","edukasi-005"
"2068","masyarakat","10","edukasi-005"
"2069","untuk","5","edukasi-005"
"2070","kiranya","7","edukasi-005"
"2071","badan","5","edukasi-005"
"2072","pemeriksa","9","edukasi-005"
"2073","keuangan","8","edukasi-005"
"2074","komisi","6","edukasi-005"
"2075","pemberantasan","13","edukasi-005"
"2076","korupsi","7","edukasi-005"
"2077","segera","6","edukasi-005"
"2078","mengusut","8","edukasi-005"
"2079","peruntukan","10","edukasi-005"
"2080","aliran","6","edukasi-005"
"2081","seluruh","7","edukasi-005"
"2082","dana","4","edukasi-005"
"2083","serta","5","edukasi-005"
"2084","menghukum","9","edukasi-005"
"2085","berat","5","edukasi-005"
"2086","para","4","edukasi-005"
"2087","koruptor","8","edukasi-005"
"2088","apabila","7","edukasi-005"
"2089","ternyata","8","edukasi-005"
"2090","mereka","6","edukasi-005"
"2091","berpesta","8","edukasi-005"
"2092","pora","4","edukasi-005"
"2093","dalam","5","edukasi-005"
"2094","proyek","6","edukasi-005"
"2095","hakim","5","edukasi-005"
"2096","konstitusi","10","edukasi-005"
"2097","akil","4","edukasi-005"
"2098","mochtar","7","edukasi-005"
"2099","seusai","6","edukasi-005"
"2100","persidangan","11","edukasi-005"
"2101","gedung","6","edukasi-005"
"2102","mahkamah","8","edukasi-005"
"2103","konstitusi","10","edukasi-005"
"2104","pada","4","edukasi-005"
"2105","januari","7","edukasi-005"
"2106","lalu","4","edukasi-005"
"2107","tegas","5","edukasi-005"
"2108","mengisyaratkan","14","edukasi-005"
"2109","bahwa","5","edukasi-005"
"2110","kehadiran","9","edukasi-005"
"2111","pasal","5","edukasi-005"
"2112","ayat","4","edukasi-005"
"2113","nomor","5","edukasi-005"
"2114","tahun","5","edukasi-005"
"2115","tentang","7","edukasi-005"
"2116","sistem","6","edukasi-005"
"2117","pendidikan","10","edukasi-005"
"2118","nasional","8","edukasi-005"
"2119","yang","4","edukasi-005"
"2120","dijadikan","9","edukasi-005"
"2121","payung","6","edukasi-005"
"2122","hukum","5","edukasi-005"
"2123","bagi","4","edukasi-005"
"2124","proyek","6","edukasi-005"
"2125","rsbi","4","edukasi-005"
"2126","terkesan","8","edukasi-005"
"2127","dipaksakan","10","edukasi-005"
"2128","undang-undang","13","edukasi-005"
"2129","sisdiknas","9","edukasi-005"
"2130","tidak","5","edukasi-005"
"2131","memberikan","10","edukasi-005"
"2132","penjelasan","10","edukasi-005"
"2133","tiba-tiba","9","edukasi-005"
"2134","pasal","5","edukasi-005"
"2135","muncul","6","edukasi-005"
"2136","begitu","6","edukasi-005"
"2137","saja","4","edukasi-005"
"2138","sehingga","8","edukasi-005"
"2139","harus","5","edukasi-005"
"2140","dibatalkan","10","edukasi-005"
"2141","kata","4","edukasi-005"
"2142","akil","4","edukasi-005"
"2143","jadi","4","edukasi-005"
"2144","keberadaan","10","edukasi-005"
"2145","norma","5","edukasi-005"
"2146","dalam","5","edukasi-005"
"2147","pasal","5","edukasi-005"
"2148","tak","3","edukasi-005"
"2149","memiliki","8","edukasi-005"
"2150","penjelasan","10","edukasi-005"
"2151","dalam","5","edukasi-005"
"2152","pasal-pasal","11","edukasi-005"
"2153","sebelumnya","10","edukasi-005"
"2154","fakta","5","edukasi-005"
"2155","adanya","6","edukasi-005"
"2156","pasal","5","edukasi-005"
"2157","siluman","7","edukasi-005"
"2158","mengingatkan","12","edukasi-005"
"2159","pada","4","edukasi-005"
"2160","berbagai","8","edukasi-005"
"2161","modus","5","edukasi-005"
"2162","kongkalikong","12","edukasi-005"
"2163","antara","6","edukasi-005"
"2164","eksekutif","9","edukasi-005"
"2165","legislatif","10","edukasi-005"
"2166","dalam","5","edukasi-005"
"2167","sejumlah","8","edukasi-005"
"2168","kasus","5","edukasi-005"
"2169","korupsi","7","edukasi-005"
"2170","harus","5","edukasi-005"
"2171","turun","5","edukasi-005"
"2172","tangan","6","edukasi-005"
"2173","rakyat","6","edukasi-005"
"2174","sudah","5","edukasi-005"
"2175","letih","5","edukasi-005"
"2176","setelah","7","edukasi-005"
"2177","menyatakan","10","edukasi-005"
"2178","rsbi","4","edukasi-005"
"2179","inkonstitusional","16","edukasi-005"
"2180","harus","5","edukasi-005"
"2181","dibubarkan","10","edukasi-005"
"2182","mendikbud","9","edukasi-005"
"2183","nuh","3","edukasi-005"
"2184","secara","6","edukasi-005"
"2185","normatif","8","edukasi-005"
"2186","menyatakan","10","edukasi-005"
"2187","menghormati","11","edukasi-005"
"2188","akan","4","edukasi-005"
"2189","melaksanakan","12","edukasi-005"
"2190","keputusan","9","edukasi-005"
