"id","input","output","process_time","issue","source"
"1125","kondisi","kondisi","0.00332",,"edukasi-001"
"1126","guru","guru","0.01238",,"edukasi-001"
"1127","daerah","daerah","0.00191",,"edukasi-001"
"1128","juga","juga","0.00223",,"edukasi-001"
"1129","sangat","sangat","0.00195",,"edukasi-001"
"1130","memprihatinkan","prihatin","0.00300",,"edukasi-001"
"1131","tidak","tidak","0.00209",,"edukasi-001"
"1132","memliki","memliki","0.00220","lemma_not_found","edukasi-001"
"1133","fasilitas","fasilitas","0.00142",,"edukasi-001"
"1134","memadai","mada","0.00206",,"edukasi-001"
"1135","saya","saya","0.00141",,"edukasi-001"
"1136","blusukan","blusukan","0.00644","lemma_not_found","edukasi-001"
"1137","perbatasan","batas","0.00481",,"edukasi-001"
"1138","jabar","Jabar","0.00335",,"edukasi-001"
"1139","banten","banten","0.00419","lemma_not_found","edukasi-001"
"1140","sana","sana","0.00346",,"edukasi-001"
"1141","guru","guru","0.00292",,"edukasi-001"
"1142","sangat","sangat","0.00279",,"edukasi-001"
"1143","memprihatinkan","prihatin","0.00808",,"edukasi-001"
"1144","begitu","begitu","0.01223",,"edukasi-001"
"1145","pula","pula","0.00115",,"edukasi-001"
"1146","fasilitasnya","fasilitas","0.00170",,"edukasi-001"
"1147","yang","yang","0.00111",,"edukasi-001"
"1148","daerah","daerah","0.00122",,"edukasi-001"
"1149","kota","kota","0.00126",,"edukasi-001"
"1150","saja","saja","0.00140",,"edukasi-001"
"1151","sekolah","sekolah","0.00126",,"edukasi-001"
"1152","unggulan","unggul","0.00153",,"edukasi-001"
"1153","belum","belum","0.00125",,"edukasi-001"
"1154","siap","siap","0.00315",,"edukasi-001"
"1155","hadapi","hadap","0.00393",,"edukasi-001"
"1156","kurikulum","kurikulum","0.00154",,"edukasi-001"
"1157","baru","baru","0.00141",,"edukasi-001"
"1158","kata","kata","0.01337",,"edukasi-001"
"1159","reni","reni","0.00563","lemma_not_found","edukasi-001"
"1160","saat","saat","0.00349",,"edukasi-001"
"1161","rapat","rapat","0.00158",,"edukasi-001"
"1162","dengar","dengar","0.00110",,"edukasi-001"
"1163","pendapat","dapat","0.00309",,"edukasi-001"
"1164","dengan","dengan","0.00120",,"edukasi-001"
"1165","federasi","federasi","0.00124",,"edukasi-001"
"1166","serikat","serikat","0.00143",,"edukasi-001"
"1167","guru","guru","0.00124",,"edukasi-001"
"1168","indonesia","Indonesia","0.01228",,"edukasi-001"
"1169","fsgi","fsgi","0.00175","lemma_not_found","edukasi-001"
"1170","majelis","majelis","0.00119",,"edukasi-001"
"1171","pendidikan","didik","0.00622",,"edukasi-001"
"1172","kristen","Kristen","0.00245",,"edukasi-001"
"1173","ruang","ruang","0.00263",,"edukasi-001"
"1174","rapat","rapat","0.00186",,"edukasi-001"
"1175","komisi","komisi","0.00138",,"edukasi-001"
"1176","ri","ri","0.00110","lemma_not_found","edukasi-001"
"1177","jakarta","jakarta","0.00166","lemma_not_found","edukasi-001"
"1178","senin","Senin","0.00128",,"edukasi-001"
"1179","juga","juga","0.00127",,"edukasi-001"
"1180","menambahkan","tambah","0.00240",,"edukasi-001"
"1181","dari","dari","0.00134",,"edukasi-001"
"1182","juta","juta","0.00125",,"edukasi-001"
"1183","guru","guru","0.01028",,"edukasi-001"
"1184","hanya","hanya","0.00126",,"edukasi-001"
"1185","sekitar","sekitar","0.00131",,"edukasi-001"
"1186","juta","juta","0.00135",,"edukasi-001"
"1187","guru","guru","0.00135",,"edukasi-001"
"1188","saja","saja","0.00128",,"edukasi-001"
"1189","yang","yang","0.00137",,"edukasi-001"
"1190","sudah","sudah","0.00126",,"edukasi-001"
"1191","disertifikasi","sertifikasi","0.01106",,"edukasi-001"
"1192","tentu","tentu","0.00124",,"edukasi-001"
"1193","akan","akan","0.00128",,"edukasi-001"
"1194","menjadi","jadi","0.01122",,"edukasi-001"
"1195","kendala","kendala","0.00127",,"edukasi-001"
"1196","dalam","dalam","0.00289",,"edukasi-001"
"1197","implementasi","implementasi","0.00301",,"edukasi-001"
"1198","kurikulum","kurikulum","0.00360",,"edukasi-001"
"1199","baru","baru","0.00315",,"edukasi-001"
"1200","meski","meski","0.00314",,"edukasi-001"
"1201","dijanjikan","janji","0.00504",,"edukasi-001"
"1202","akan","akan","0.00320",,"edukasi-001"
"1203","dilakukan","laku","0.01184",,"edukasi-001"
"1204","pelatihan","latih","0.00211",,"edukasi-001"
"1205","guru","guru","0.00124",,"edukasi-001"
"1206","dalam","dalam","0.00124",,"edukasi-001"
"1207","waktu","waktu","0.00214",,"edukasi-001"
"1208","singkat","singkat","0.00188",,"edukasi-001"
"1209","enam","enam","0.00189",,"edukasi-001"
"1210","bulan","bulan","0.00213",,"edukasi-001"
"1211","dengan","dengan","0.00205",,"edukasi-001"
"1212","metode","metode","0.00345",,"edukasi-001"
"1213","master","master","0.00357",,"edukasi-001"
"1214","teacher","teacher","0.00429","lemma_not_found","edukasi-001"
"1215","disertifikasi","sertifikasi","0.00426",,"edukasi-001"
"1216","saja","saja","0.00128",,"edukasi-001"
"1217","belum","belum","0.01107",,"edukasi-001"
"1218","sudah","sudah","0.00138",,"edukasi-001"
"1219","dihadapkan","hadap","0.00194",,"edukasi-001"
"1220","pada","pada","0.00289",,"edukasi-001"
"1221","implementasi","implementasi","0.00218",,"edukasi-001"
"1222","kurikulum","kurikulum","0.00176",,"edukasi-001"
"1223","baru","baru","0.00147",,"edukasi-001"
"1224","bagaimana","bagaimana","0.01050",,"edukasi-001"
"1225","siap","siap","0.00215",,"edukasi-001"
"1226","ujar","ujar","0.00116",,"edukasi-001"
"1227","reni","reni","0.00194","lemma_not_found","edukasi-001"
"1228","dalam","dalam","0.00147",,"edukasi-001"
"1229","kesempatan","sempat","0.00194",,"edukasi-001"
"1230","yang","yang","0.00145",,"edukasi-001"
"1231","sama","sama","0.00126",,"edukasi-001"
"1232","sekretaris","sekretaris","0.00150",,"edukasi-001"
"1233","jenderal","jenderal","0.00128",,"edukasi-001"
"1234","fsgi","fsgi","0.00218","lemma_not_found","edukasi-001"
"1235","retno","retno","0.00156","lemma_not_found","edukasi-001"
"1236","listyari","listyari","0.00238","lemma_not_found","edukasi-001"
"1237","mengatakan","atak","0.00732",,"edukasi-001"
"1238","bahwa","bahwa","0.01199",,"edukasi-001"
"1239","guru","guru","0.00219",,"edukasi-001"
"1240","memang","memang","0.00182",,"edukasi-001"
"1241","harus","harus","0.00192",,"edukasi-001"
"1242","dilatih","latih","0.00403",,"edukasi-001"
"1243","dididik","didik","0.01326",,"edukasi-001"
"1244","agar","agar","0.00184",,"edukasi-001"
"1245","berkualitas","kualitas","0.00268",,"edukasi-001"
"1246","pelatihan","latih","0.00317",,"edukasi-001"
"1247","juga","juga","0.00147",,"edukasi-001"
"1248","sebaiknya","baik","0.00186",,"edukasi-001"
"1249","dilakukan","laku","0.00525",,"edukasi-001"
"1250","bukan","bukan","0.00131",,"edukasi-001"
"1251","karena","karena","0.00127",,"edukasi-001"
"1252","perubahan","ubah","0.00210",,"edukasi-001"
"1253","kurikulum","kurikulum","0.00129",,"edukasi-001"
"1254","seperti","seperti","0.00121",,"edukasi-001"
"1255","saja","saja","0.00115",,"edukasi-001"
"1256","kalau","kalau","0.00138",,"edukasi-001"
"1257","kualitas","kualitas","0.00174",,"edukasi-001"
"1258","guru","guru","0.00131",,"edukasi-001"
"1259","rendah","rendah","0.00142",,"edukasi-001"
"1260","kenapa","kenapa","0.00121",,"edukasi-001"
"1261","kurikulum","kurikulum","0.00146",,"edukasi-001"
"1262","yang","yang","0.00130",,"edukasi-001"
"1263","diubah","ubah","0.00154",,"edukasi-001"
"1264","untuk","untuk","0.00143",,"edukasi-001"
"1265","kami","kami","0.00126",,"edukasi-001"
"1266","mendorong","dorong","0.00164",,"edukasi-001"
"1267","untuk","untuk","0.01064",,"edukasi-001"
"1268","mendesak","desak","0.00177",,"edukasi-001"
"1269","pemerintah","perintah","0.00184",,"edukasi-001"
"1270","untuk","untuk","0.00461",,"edukasi-001"
"1271","membenahi","benah","0.01271",,"edukasi-001"
"1272","kualitas","kualitas","0.00221",,"edukasi-001"
"1273","guru","guru","0.00148",,"edukasi-001"
"1274","bukan","bukan","0.00148",,"edukasi-001"
"1275","hanya","hanya","0.00130",,"edukasi-001"
"1276","sekadar","kadar","0.00197",,"edukasi-001"
"1277","mengganti","ganti","0.01128",,"edukasi-001"
"1278","kurikulum","kurikulum","0.00148",,"edukasi-001"
"1279","tandasnya","tandas","0.00146",,"edukasi-001"
"1280","orangtua","orangtua","0.00190","lemma_not_found","edukasi-002"
"1281","masih","masih","0.00148",,"edukasi-002"
"1282","harus","harus","0.00148",,"edukasi-002"
"1283","bayar","bayar","0.01020",,"edukasi-002"
"1284","pungutan","pungutan","0.00199","lemma_not_found","edukasi-002"
"1285","rsbi","rsbi","0.00230","lemma_not_found","edukasi-002"
"1286","atau","atau","0.00137",,"edukasi-002"
"1287","tidak","tidak","0.00141",,"edukasi-002"
"1288","jakarta","jakarta","0.00237","lemma_not_found","edukasi-002"
"1289","kompas","kompas","0.00142",,"edukasi-002"
"1290","pascaputusan","pascaputusan","0.00256","lemma_not_found","edukasi-002"
"1291","mahkamah","mahkamah","0.00131",,"edukasi-002"
"1292","konstitusi","konstitusi","0.01093",,"edukasi-002"
"1293","terkait","kait","0.00175",,"edukasi-002"
"1294","status","status","0.01111",,"edukasi-002"
"1295","rintisan","rintis","0.01145",,"edukasi-002"
"1296","sekolah","sekolah","0.00126",,"edukasi-002"
"1297","bertaraf","taraf","0.00189",,"edukasi-002"
"1298","internasional","internasional","0.00148",,"edukasi-002"
"1299","rsbi","rsbi","0.00228","lemma_not_found","edukasi-002"
"1300","masalah","masalah","0.00145",,"edukasi-002"
"1301","pungutan","pungutan","0.00230","lemma_not_found","edukasi-002"
"1302","pada","pada","0.00124",,"edukasi-002"
"1303","sekolah","sekolah","0.00130",,"edukasi-002"
"1304","terus","terus","0.01024",,"edukasi-002"
"1305","mendapat","dapat","0.00161",,"edukasi-002"
"1306","sorotan","sorot","0.00155",,"edukasi-002"
"1307","tak","tak","0.00162",,"edukasi-002"
"1308","henti","henti","0.00131",,"edukasi-002"
"1309","dipertanyakan","tanya","0.00266",,"edukasi-002"
"1310","oleh","oleh","0.00145",,"edukasi-002"
"1311","banyak","banyak","0.00122",,"edukasi-002"
"1312","pihak","pihak","0.00129",,"edukasi-002"
"1313","pemerintah","perintah","0.00539",,"edukasi-002"
"1314","dinilai","nilai","0.00179",,"edukasi-002"
"1315","tegas","tegas","0.00150",,"edukasi-002"
"1316","terkait","kait","0.00153",,"edukasi-002"
"1317","masalah","masalah","0.00140",,"edukasi-002"
"1318","masih","masih","0.00129",,"edukasi-002"
"1319","berlaku","laku","0.00315",,"edukasi-002"
"1320","atau","atau","0.00134",,"edukasi-002"
"1321","tidaknya","tidak","0.00140",,"edukasi-002"
"1322","pungutan","pungutan","0.00224","lemma_not_found","edukasi-002"
"1323","sekolah","sekolah","0.00123",,"edukasi-002"
"1324","eks-rsbi","eks","0.00170",,"edukasi-002"
"1325","pascaputusan","pascaputusan","0.00265","lemma_not_found","edukasi-002"
"1326","orangtua","orangtua","0.01115","lemma_not_found","edukasi-002"
"1327","murid","murid","0.00143",,"edukasi-002"
"1328","siswa","siswa","0.00138",,"edukasi-002"
"1329","kelas","kelas","0.00129",,"edukasi-002"
"1330","siswa","siswa","0.00119",,"edukasi-002"
"1331","negeri","negeri","0.00122",,"edukasi-002"
"1332","cikini","cikini","0.00222","lemma_not_found","edukasi-002"
"1333","mila","mila","0.00158","lemma_not_found","edukasi-002"
"1334","mengatakan","atak","0.00248",,"edukasi-002"
"1335","bahwa","bahwa","0.00114",,"edukasi-002"
"1336","banyak","banyak","0.01103",,"edukasi-002"
"1337","orangtua","orangtua","0.01157","lemma_not_found","edukasi-002"
"1338","murid","murid","0.01026",,"edukasi-002"
"1339","yang","yang","0.01338",,"edukasi-002"
"1340","bingung","bingung","0.00332",,"edukasi-002"
"1341","apakah","apakah","0.00299",,"edukasi-002"
"1342","pungutan","pungutan","0.00505","lemma_not_found","edukasi-002"
"1343","bulanan","bulan","0.00377",,"edukasi-002"
"1344","masih","masih","0.00292",,"edukasi-002"
"1345","berlaku","laku","0.00620",,"edukasi-002"
"1346","setelah","telah","0.00632",,"edukasi-002"
"1347","adanya","ada","0.00401",,"edukasi-002"
"1348","putusan","putus","0.00407",,"edukasi-002"
"1349","kebingungan","bingung","0.00548",,"edukasi-002"
"1350","semakin","semakin","0.00343",,"edukasi-002"
"1351","menjadi","jadi","0.00426",,"edukasi-002"
"1352","saat","saat","0.00309",,"edukasi-002"
"1353","pemerintah","perintah","0.00566",,"edukasi-002"
"1354","menyatakan","nyata","0.00602",,"edukasi-002"
"1355","adanya","ada","0.00376",,"edukasi-002"
"1356","masa","masa","0.00347",,"edukasi-002"
"1357","transisi","transisi","0.01237",,"edukasi-002"
"1358","terkait","kait","0.00451",,"edukasi-002"
"1359","rsbi","rsbi","0.00335","lemma_not_found","edukasi-002"
"1360","pascakeluarnya","pascakeluarnya","0.00265","lemma_not_found","edukasi-002"
"1361","putusan","putus","0.00176",,"edukasi-002"
"1362","banyak","banyak","0.00316",,"edukasi-002"
"1363","orangtua","orangtua","0.00514","lemma_not_found","edukasi-002"
"1364","yang","yang","0.01054",,"edukasi-002"
"1365","bingung","bingung","0.00127",,"edukasi-002"
"1366","jadi","jadi","0.00127",,"edukasi-002"
"1367","uang","uang","0.00116",,"edukasi-002"
"1368","bulanannya","bulan","0.00163",,"edukasi-002"
"1369","masih","masih","0.00116",,"edukasi-002"
"1370","atau","atau","0.00126",,"edukasi-002"
"1371","enggak","enggak","0.00115",,"edukasi-002"
"1372","pemerintah","perintah","0.01104",,"edukasi-002"
"1373","harusnya","harus","0.01066",,"edukasi-002"
"1374","kasih","kasih","0.00127",,"edukasi-002"
"1375","kepastian","pasti","0.00540",,"edukasi-002"
"1376","kata","kata","0.00374",,"edukasi-002"
"1377","mila","mila","0.00399","lemma_not_found","edukasi-002"
"1378","gedung","gedung","0.01247",,"edukasi-002"
"1379","kemdikbud","kemdikbud","0.00334","lemma_not_found","edukasi-002"
"1380","jakarta","jakarta","0.00218","lemma_not_found","edukasi-002"
"1381","senin","Senin","0.00347",,"edukasi-002"
"1382","kalau","kalau","0.01229",,"edukasi-002"
"1383","untuk","untuk","0.00413",,"edukasi-002"
"1384","saya","saya","0.01190",,"edukasi-002"
"1385","smp","smp","0.01091","lemma_not_found","edukasi-002"
"1386","untungnya","untung","0.00165",,"edukasi-002"
"1387","kepala","kepala","0.01036",,"edukasi-002"
"1388","sekolahnya","sekolah","0.00171",,"edukasi-002"
"1389","sangat","sangat","0.00124",,"edukasi-002"
"1390","arif","arif","0.00262",,"edukasi-002"
"1391","jadi","jadi","0.00139",,"edukasi-002"
"1392","bagi","bagi","0.00129",,"edukasi-002"
"1393","yang","yang","0.00391",,"edukasi-002"
"1394","masih","masih","0.00355",,"edukasi-002"
"1395","memberikan","ikan","0.00558",,"edukasi-002"
"1396","donasi","donasi","0.01043",,"edukasi-002"
"1397","dipersilakan","sila","0.01138",,"edukasi-002"
"1398","tapi","tapi","0.00124",,"edukasi-002"
"1399","yang","yang","0.00132",,"edukasi-002"
"1400","tidak","tidak","0.00148",,"edukasi-002"
"1401","juga","juga","0.00135",,"edukasi-002"
"1402","tidak","tidak","0.00135",,"edukasi-002"
"1403","masalah","masalah","0.01094",,"edukasi-002"
"1404","imbuh","imbuh","0.01114",,"edukasi-002"
"1405","mila","mila","0.01120","lemma_not_found","edukasi-002"
"1406","juga","juga","0.00121",,"edukasi-002"
"1407","menambahkan","tambah","0.00293",,"edukasi-002"
"1408","bahwa","bahwa","0.00152",,"edukasi-002"
"1409","tidak","tidak","0.00140",,"edukasi-002"
"1410","adanya","ada","0.00166",,"edukasi-002"
"1411","kepastian","pasti","0.00235",,"edukasi-002"
"1412","dari","dari","0.00132",,"edukasi-002"
"1413","pemerintah","perintah","0.00216",,"edukasi-002"
"1414","mengenai","kena","0.00323",,"edukasi-002"
"1415","pungutan","pungutan","0.01104","lemma_not_found","edukasi-002"
"1416","pada","pada","0.00187",,"edukasi-002"
"1417","sekolah","sekolah","0.01072",,"edukasi-002"
"1418","rsbi","rsbi","0.00221","lemma_not_found","edukasi-002"
"1419","dikhawatirkan","khawatir","0.01174",,"edukasi-002"
"1420","akan","akan","0.00132",,"edukasi-002"
"1421","disalahgunakan","salahguna","0.00234",,"edukasi-002"
"1422","oleh","oleh","0.00139",,"edukasi-002"
"1423","sekolah","sekolah","0.01096",,"edukasi-002"
"1424","bekas","bekas","0.00144",,"edukasi-002"
"1425","rsbi","rsbi","0.00222","lemma_not_found","edukasi-002"
"1426","untuk","untuk","0.00146",,"edukasi-002"
"1427","pemerintah","perintah","0.00195",,"edukasi-002"
"1428","sebaiknya","baik","0.00203",,"edukasi-002"
"1429","segera","segera","0.00144",,"edukasi-002"
"1430","mengatur","atur","0.00167",,"edukasi-002"
"1431","terkait","kait","0.00187",,"edukasi-002"
"1432","aturan","atur","0.00205",,"edukasi-002"
"1433","pungutan","pungutan","0.00262","lemma_not_found","edukasi-002"
"1434","pada","pada","0.00157",,"edukasi-002"
"1435","sekolah","sekolah","0.00130",,"edukasi-002"
"1436","bekas","bekas","0.00141",,"edukasi-002"
"1437","rsbi","rsbi","0.00227","lemma_not_found","edukasi-002"
"1438","sekolah","sekolah","0.00199",,"edukasi-002"
"1439","tempat","tempat","0.00135",,"edukasi-002"
"1440","anak","anak","0.00141",,"edukasi-002"
"1441","saya","saya","0.00147",,"edukasi-002"
"1442","tidak","tidak","0.00136",,"edukasi-002"
"1443","masalah","masalah","0.01059",,"edukasi-002"
"1444","tapi","tapi","0.00129",,"edukasi-002"
"1445","sekolah","sekolah","0.00124",,"edukasi-002"
"1446","lain","lain","0.01064",,"edukasi-002"
"1447","bisa","bisa","0.00130",,"edukasi-002"
"1448","jadi","jadi","0.00134",,"edukasi-002"
"1449","yang","yang","0.00128",,"edukasi-002"
"1450","tetap","tetap","0.00138",,"edukasi-002"
"1451","menarik","tarik","0.00222",,"edukasi-002"
"1452","pungutan","pungutan","0.00226","lemma_not_found","edukasi-002"
"1453","padahal","padahal","0.00144",,"edukasi-002"
"1454","dengan","dengan","0.00135",,"edukasi-002"
"1455","adanya","ada","0.01074",,"edukasi-002"
"1456","putusan","putus","0.00164",,"edukasi-002"
"1457","harusnya","harus","0.00189",,"edukasi-002"
"1458","aturannya","atur","0.00205",,"edukasi-002"
"1459","termasuk","masuk","0.01069",,"edukasi-002"
"1460","pungutan","pungutan","0.00243","lemma_not_found","edukasi-002"
"1461","sudah","sudah","0.00139",,"edukasi-002"
"1462","tidak","tidak","0.01074",,"edukasi-002"
"1463","berlaku","laku","0.00290",,"edukasi-002"
"1464","jelas","jelas","0.01104",,"edukasi-002"
"1465","mila","mila","0.00188","lemma_not_found","edukasi-002"
"1466","kami","kami","0.00118",,"edukasi-002"
"1467","hanya","hanya","0.00115",,"edukasi-002"
"1468","minta","minta","0.00123",,"edukasi-002"
"1469","agar","agar","0.00138",,"edukasi-002"
"1470","kemdikbud","kemdikbud","0.00251","lemma_not_found","edukasi-002"
"1471","tegas","tegas","0.00145",,"edukasi-002"
"1472","dengan","dengan","0.00143",,"edukasi-002"
"1473","pungutan","pungutan","0.00271","lemma_not_found","edukasi-002"
"1474","agar","agar","0.01069",,"edukasi-002"
"1475","orangtua","orangtua","0.00230","lemma_not_found","edukasi-002"
"1476","juga","juga","0.00140",,"edukasi-002"
"1477","tidak","tidak","0.00152",,"edukasi-002"
"1478","bingung","bingung","0.01115",,"edukasi-002"
"1479","sekolah","sekolah","0.00173",,"edukasi-002"
"1480","tidak","tidak","0.00138",,"edukasi-002"
"1481","memanfaatkan","manfaat","0.00337",,"edukasi-002"
"1482","kondisi","kondisi","0.00123",,"edukasi-002"
"1483","tandasnya","tandas","0.00201",,"edukasi-002"
"1484","masa","masa","0.00137",,"edukasi-003"
"1485","transisi","transisi","0.00143",,"edukasi-003"
"1486","rsbi","rsbi","0.00210","lemma_not_found","edukasi-003"
"1487","punya","punya","0.00138",,"edukasi-003"
"1488","dasar","dasar","0.00121",,"edukasi-003"
"1489","hukumindonesia","hukumindonesia","0.00163","lemma_not_found","edukasi-003"
"1490","corruption","corruption","0.00174","lemma_not_found","edukasi-003"
"1491","watch","watch","0.00176","lemma_not_found","edukasi-003"
"1492","menyatakan","nyata","0.01183",,"edukasi-003"
"1493","bahwa","bahwa","0.00143",,"edukasi-003"
"1494","tidak","tidak","0.00155",,"edukasi-003"
"1495","dasar","dasar","0.00139",,"edukasi-003"
"1496","hukum","hukum","0.00131",,"edukasi-003"
"1497","terhadap","hadap","0.00161",,"edukasi-003"
"1498","transisi","transisi","0.00133",,"edukasi-003"
"1499","pelaksanaan","laksana","0.00212",,"edukasi-003"
"1500","putusan","putus","0.01073",,"edukasi-003"
"1501","terkait","kait","0.00188",,"edukasi-003"
"1502","rintisan","rintis","0.00190",,"edukasi-003"
"1503","sekolah","sekolah","0.00131",,"edukasi-003"
"1504","bertaraf","taraf","0.00155",,"edukasi-003"
"1505","internasional","internasional","0.00149",,"edukasi-003"
"1506","rsbi","rsbi","0.00232","lemma_not_found","edukasi-003"
"1507","sbi","sbi","0.00187","lemma_not_found","edukasi-003"
"1508","sampai","sampai","0.01092",,"edukasi-003"
"1509","akhir","akhir","0.00139",,"edukasi-003"
"1510","masa","masa","0.00124",,"edukasi-003"
"1511","tahun","tahun","0.00138",,"edukasi-003"
"1512","ajaran","ajar","0.00167",,"edukasi-003"
"1513","bahkan","bahkan","0.00137",,"edukasi-003"
"1514","mahkamah","mahkamah","0.00142",,"edukasi-003"
"1515","konstitusi","konstitusi","0.00143",,"edukasi-003"
"1516","dinilai","nilai","0.00187",,"edukasi-003"
"1517","hanya","hanya","0.00154",,"edukasi-003"
"1518","memiliki","milik","0.00258",,"edukasi-003"
"1519","kewenangan","wenang","0.01182",,"edukasi-003"
"1520","menetapkan","tetap","0.00243",,"edukasi-003"
"1521","putusan","putus","0.00163",,"edukasi-003"
"1522","sebagaimana","sebagaimana","0.00167",,"edukasi-003"
"1523","diatur","atur","0.00179",,"edukasi-003"
"1524","dalam","dalam","0.00124",,"edukasi-003"
"1525","pasal","pasal","0.00145",,"edukasi-003"
"1526","no","no","0.00102","lemma_not_found","edukasi-003"
"1527","tahun","tahun","0.00144",,"edukasi-003"
"1528","tentang","tentang","0.00148",,"edukasi-003"
"1529","mahkamah","mahkamah","0.00145",,"edukasi-003"
"1530","konstitusi","konstitusi","0.00150",,"edukasi-003"
"1531","peneliti","teliti","0.00191",,"edukasi-003"
"1532","febri","febri","0.00191","lemma_not_found","edukasi-003"
"1533","hendri","hendri","0.00204","lemma_not_found","edukasi-003"
"1534","mempertanyakan","tanya","0.00261",,"edukasi-003"
"1535","kesepakatan","sepakat","0.00223",,"edukasi-003"
"1536","yang","yang","0.00133",,"edukasi-003"
"1537","dilakukan","laku","0.01163",,"edukasi-003"
"1538","menteri","menteri","0.00143",,"edukasi-003"
"1539","pendidikan","didik","0.00300",,"edukasi-003"
"1540","kebudayaan","budaya","0.00202",,"edukasi-003"
"1541","mohammad","mohammad","0.00170","lemma_not_found","edukasi-003"
"1542","dengan","dengan","0.00119",,"edukasi-003"
"1543","ketua","ketua","0.00147",,"edukasi-003"
"1544","mahfud","mahfud","0.00181","lemma_not_found","edukasi-003"
"1545","pada","pada","0.01112",,"edukasi-003"
"1546","minggu","Minggu","0.00145",,"edukasi-003"
"1547","kemarin","kemarin","0.00139",,"edukasi-003"
"1548","menurutnya","turut","0.00188",,"edukasi-003"
"1549","tidak","tidak","0.00127",,"edukasi-003"
"1550","berwenang","wenang","0.00160",,"edukasi-003"
"1551","untuk","untuk","0.00361",,"edukasi-003"
"1552","ikut","ikut","0.00309",,"edukasi-003"
"1553","campur","campur","0.00303",,"edukasi-003"
"1554","tangan","tangan","0.00298",,"edukasi-003"
"1555","terkait","kait","0.00400",,"edukasi-003"
"1556","implementasi","implementasi","0.00313",,"edukasi-003"
"1557","putusan","putus","0.00405",,"edukasi-003"
"1558","tidak","tidak","0.00333",,"edukasi-003"
"1559","kewenangan","wenang","0.00511",,"edukasi-003"
"1560","untuk","untuk","0.00353",,"edukasi-003"
"1561","mengurusi","urus","0.01784",,"edukasi-003"
"1562","implementasi","implementasi","0.00187",,"edukasi-003"
"1563","putusan","putus","0.00216",,"edukasi-003"
"1564","yang","yang","0.00331",,"edukasi-003"
"1565","telah","telah","0.00333",,"edukasi-003"
"1566","ditetapkan","tetap","0.00545",,"edukasi-003"
"1567","kewenangan","wenang","0.00546",,"edukasi-003"
"1568","hanya","hanya","0.00321",,"edukasi-003"
"1569","memutuskan","putus","0.00786",,"edukasi-003"
"1570","perkara","perkara","0.00297",,"edukasi-003"
"1571","sesuai","sesuai","0.00354",,"edukasi-003"
"1572","undang-undang","undang","0.00322",,"edukasi-003"
"1573","kata","kata","0.00324",,"edukasi-003"
"1574","febri","febri","0.00540","lemma_not_found","edukasi-003"
"1575","gedung","gedung","0.00355",,"edukasi-003"
"1576","kemdikbud","kemdikbud","0.00591","lemma_not_found","edukasi-003"
"1577","jakarta","jakarta","0.00537","lemma_not_found","edukasi-003"
"1578","senin","Senin","0.00335",,"edukasi-003"
"1579","dengan","dengan","0.00307",,"edukasi-003"
"1580","demikian","demikian","0.00339",,"edukasi-003"
"1581","meminta","minta","0.00416",,"edukasi-003"
"1582","agar","agar","0.00358",,"edukasi-003"
"1583","pemerintah","perintah","0.00552",,"edukasi-003"
"1584","segera","segera","0.00281",,"edukasi-003"
"1585","mengeksekusi","eksekusi","0.00295",,"edukasi-003"
"1586","putusan","putus","0.00385",,"edukasi-003"
"1587","tersebut","sebut","0.00392",,"edukasi-003"
"1588","tidak","tidak","0.00292",,"edukasi-003"
"1589","menunda","tunda","0.00409",,"edukasi-003"
"1590","pemberhentian","henti","0.00590",,"edukasi-003"
"1591","program","program","0.00315",,"edukasi-003"
"1592","rsbi-sbi","rsbi-sbi","0.00691","lemma_not_found","edukasi-003"
"1593","seluruh","seluruh","0.00347",,"edukasi-003"
"1594","indonesia","Indonesia","0.00344",,"edukasi-003"
"1595","menurutnya","turut","0.00463",,"edukasi-003"
"1596","semua","semua","0.00267",,"edukasi-003"
"1597","program","program","0.00238",,"edukasi-003"
"1598","terkait","kait","0.00154",,"edukasi-003"
"1599","rsbi-sbi","rsbi-sbi","0.00566","lemma_not_found","edukasi-003"
"1600","harus","harus","0.00339",,"edukasi-003"
"1601","dihentikan","henti","0.00521",,"edukasi-003"
"1602","termasuk","masuk","0.00392",,"edukasi-003"
"1603","aliran","alir","0.00391",,"edukasi-003"
"1604","anggaran","anggar","0.01297",,"edukasi-003"
"1605","dari","dari","0.00340",,"edukasi-003"
"1606","pemerintah","perintah","0.00519",,"edukasi-003"
"1607","untuk","untuk","0.00303",,"edukasi-003"
"1608","program","program","0.00245",,"edukasi-003"
"1609","rsbi-sbi","rsbi-sbi","0.01618","lemma_not_found","edukasi-003"
"1610","masalah","masalah","0.00364",,"edukasi-003"
"1611","anggaran","anggar","0.00509",,"edukasi-003"
"1612","juga","juga","0.00346",,"edukasi-003"
"1613","harus","harus","0.00336",,"edukasi-003"
"1614","dihentikan","henti","0.00567",,"edukasi-003"
"1615","yang","yang","0.00345",,"edukasi-003"
"1616","sudah","sudah","0.00356",,"edukasi-003"
"1617","turun","turun","0.00344",,"edukasi-003"
"1618","harus","harus","0.00345",,"edukasi-003"
"1619","ditarik","tarik","0.00435",,"edukasi-003"
"1620","dikembalikan","kembali","0.00639",,"edukasi-003"
"1621","pada","pada","0.00216",,"edukasi-003"
